securityid,ticker,figi,mindate,maxdate
380,CNTU,"",2003-09-10 00:00:00,2005-07-05 00:00:00
413,DSO,"",2003-09-10 00:00:00,2007-05-03 00:00:00
433,GMT,BBG000BKGXQ4,2003-09-10 00:00:00,2016-07-05 00:00:00
448,PEG,BBG000BQZMH4,2003-09-10 00:00:00,
420,UMH,BBG000D6MRB5,2003-09-10 00:00:00,
346,DRTE,"",2003-09-10 00:00:00,2007-05-08 00:00:00
414,GKM,"",2003-09-10 00:00:00,2013-12-23 00:00:00
422,KTO,"",2003-09-10 00:00:00,2007-08-08 00:00:00
358,CESI,"",2003-09-10 00:00:00,2007-09-30 00:00:00
314,CYTC,"",2003-09-10 00:00:00,2007-10-22 00:00:00
444,DJO,"",2003-09-10 00:00:00,2007-11-20 00:00:00
312,BIOM,"",2003-09-10 00:00:00,2007-12-10 00:00:00
419,HET,"",2003-09-10 00:00:00,2008-01-28 00:00:00
408,HYI,BBG000BG4925,2003-09-10 00:00:00,
406,VIC,"",2003-09-10 00:00:00,2005-07-31 00:00:00
322,TTP,"",2003-09-10 00:00:00,2008-12-25 00:00:00
321,PYM,"",2003-09-10 00:00:00,2008-02-19 00:00:00
342,BCS,BBG000BCZ341,2003-09-10 00:00:00,
353,WTU,"",2003-09-10 00:00:00,2010-11-15 00:00:00
172,LSBX,"",2003-09-10 00:00:00,2010-11-30 00:00:00
341,TEKC,"",2003-09-10 00:00:00,2005-08-23 00:00:00
338,NT,"",2003-09-10 00:00:00,2009-01-14 00:00:00
397,NCN,"",2003-09-10 00:00:00,2003-11-02 00:00:00
389,MET,BBG000BB6KF5,2003-09-10 00:00:00,
310,AMEN,"",2003-09-10 00:00:00,2009-03-05 00:00:00
374,MHK,BBG000FLZN98,2003-09-10 00:00:00,
409,TBAC,"",2003-09-10 00:00:00,2014-02-09 00:00:00
365,PCC,"",2003-09-10 00:00:00,2014-03-11 00:00:00
12524,CELH,BBG000NY37X4,2010-02-11 00:00:00,
383,RDCM,"",2003-09-10 00:00:00,
371,DPH,"",2003-09-10 00:00:00,2005-10-11 00:00:00
12525,UMDD,BBG000QBD6G1,2010-02-11 00:00:00,
12845,AXDI,"",2010-07-20 00:00:00,2014-03-25 00:00:00
373,SBG,"",2003-09-10 00:00:00,2010-02-07 00:00:00
428,RIV,BBG0015YTYQ3,2003-09-10 00:00:00,
394,TDF,BBG000DL6S28,2003-09-10 00:00:00,
379,BYFC,BBG000BD6V58,2003-09-10 00:00:00,
16661,BEMO,BBG00D20HG22,2016-06-09 00:00:00,2019-11-08 00:00:00
403,XFJ,"",2003-09-10 00:00:00,2011-01-10 00:00:00
348,ABI,"",2003-09-10 00:00:00,2014-05-07 00:00:00
337,MYR,"",2003-09-10 00:00:00,2005-11-14 00:00:00
421,BEZ,"",2003-09-10 00:00:00,2011-01-27 00:00:00
436,ESPD,"",2003-09-10 00:00:00,2008-04-01 00:00:00
377,CNQR,"",2003-09-10 00:00:00,2014-12-04 00:00:00
368,KTX,"",2003-09-10 00:00:00,2011-05-26 00:00:00
395,PILL,BBG00J7KDH95,2003-09-10 00:00:00,
14560,WTSL,"",2013-02-26 00:00:00,2015-01-26 00:00:00
393,SLF,BBG000LRMSB8,2003-09-10 00:00:00,
396,MEE,"",2003-09-10 00:00:00,2011-06-01 00:00:00
402,WTNY,"",2003-09-10 00:00:00,2011-06-06 00:00:00
362,AXYS,"",2003-09-10 00:00:00,2009-09-02 00:00:00
441,MACR,"",2003-09-10 00:00:00,2005-12-04 00:00:00
356,API,"",2003-09-10 00:00:00,2015-05-10 00:00:00
